"Dataset","Analysis","Alignment_ID","Average_Rt","Average_Mz","Metabolite_name","Ontology","FC","log2FC","p_value","FDR","VIP"
"Lip_Neg","paired",2515,12.407,913.66821,"PEtOH 50:7","PEtOH",0.561447809351224,-0.832776175003568,0.000172331208719951,0.00121435097351859,1.63296100132967
"Lip_Neg","paired",1984,8.775,764.56366,"RIKEN N-VS1 ID-5416 from Mouse_Plasma_ApoEKO_N_F1DHA","Unknown",0.727671518541075,-0.458640750944246,0.000207915672797941,0.00141117233239454,1.24066371918687
"Lip_Neg","paired",955,5.86,476.27744,"LPE 18:2","LPE",0.710711198416702,-0.492664663390284,0.000222418383539687,0.00149371503892968,1.42046027901813
"Lip_Neg","paired",2454,9.383,880.57355,"no MS2: PC O-39:7;O2|PC O-22:6_17:1;O2","EtherOxPC",0.707600366765599,-0.498993299076666,0.000227085548958298,0.00150917271078535,1.34489975907178
"Lip_Neg","paired",1490,8.775,598.45917,"no MS2: SL 34:2;O|SL 14:2;O/20:0","SL",0.828453224498871,-0.271507851500452,0.000236939694007405,0.0015584280904817,1.06587762356868
"Lip_Neg","paired",2645,12.996,995.66748,"low score: SMGDG O-47:5|SMGDG O-19:4_28:1","EtherSMGDG",0.849509913670017,-0.235297311316458,0.000278891886516138,0.00177933023597296,0.848836150151419
"Lip_Neg","paired",1615,5.754,656.32086,"low score: PS 26:5;O|PS 22:5_4:0;O","OxPS",0.689864604060915,-0.535614855050598,0.000282029947608629,0.00178153570865649,1.26553229423517
"Lip_Neg","paired",1965,9.091,761.58179,"SM 35:1;O2|SM 18:1;O2/17:0","SM",0.827099711985059,-0.273866829197258,0.000298898914124109,0.00185143210884643,0.934161454903928
"Lip_Neg","paired",2180,8.353,813.53717,"low score: PG 38:4;O|PG 16:0_22:4;O","OxPG",0.893770739940115,-0.162023279998106,0.000322356959163442,0.00194022396175732,0.590034250319809
"Lip_Neg","paired",2310,10.862,843.66064,"SM 41:2;O2","SM",0.682709200641261,-0.550656900164519,0.000358038493793543,0.00213484634617084,1.46034421902701
"Lip_Neg","paired",1332,5.794,564.33087,"LPC 18:2","LPC",0.810965807809296,-0.30228700651616,0.000364531907728362,0.00215188751885966,1.11132701820363
"Lip_Neg","paired",2607,10.503,965.62378,"low score: SMGDG O-45:6|SMGDG O-28:3_17:3","EtherSMGDG",0.673246981054829,-0.570792239416994,0.000381959707749618,0.00219283341980554,1.25051980294954
"Lip_Neg","paired",2497,8.781,900.5321,"no MS2: GD2 45:0;O2","GD2",0.701819454870964,-0.510828154190836,0.000435145748190023,0.00241411293343682,1.21633511279654
